id,name,slug
708,Nam Đông,nam-dong
709,A Lưới,a-luoi
710,Phong Điền,phong-dien
711,Phú Lộc,phu-loc
712,Phú Vang,phu-vang
713,Quảng Điền,quang-dien
714,Thị xã Cai Lậy,thi-xa-cai-lay
715,Cái Bè,cai-be
716,Châu Thành,chau-thanh
717,Chợ Gạo,cho-gao
718,Gò Công,go-cong
719,Gò Công Đông,go-cong-dong
720,Gò Công Tây,go-cong-tay
721,Mỹ Tho,my-tho
722,Tân Phú Đông,tan-phu-dong
723,Tân Phước,tan-phuoc
724,Càng Long,cang-long
725,Cầu Kè,cau-ke
726,Cầu Ngang,cau-ngang
727,Châu Thành,chau-thanh
728,Thị xã Duyên Hải,thi-xa-duyen-hai
729,Tiểu Cần,tieu-can
730,Trà Cú,tra-cu
731,Trà Vinh,tra-vinh
732,Chiêm Hóa,chiem-hoa
733,Hàm Yên,ham-yen
734,Lâm Bình,lam-binh
735,Na Hang,na-hang
736,Sơn Dương,son-duong
737,Tuyên Quang,tuyen-quang
738,Yên Sơn,yen-son
739,Bình Minh,binh-minh
740,Bình Tân,binh-tan
741,Long Hồ,long-ho
742,Mang Thít,mang-thit
743,Tam Bình,tam-binh
744,Trà Ôn,tra-on
745,Vĩnh Long,vinh-long
746,Vũng Liêm,vung-liem
747,Bình Xuyên,binh-xuyen
748,Lập Thạch,lap-thach
749,Phúc Yên,phuc-yen
750,Sông Lô,song-lo
751,Tam Dương,tam-duong
752,Tam Đảo,tam-dao
753,Vĩnh Tường,vinh-tuong
754,Vĩnh Yên,vinh-yen
755,Yên Lạc,yen-lac
756,Lục Yên,luc-yen
757,Mù Cang Chải,mu-cang-chai
758,Nghĩa Lộ,nghia-lo
759,Trạm Tấu,tram-tau
760,Trấn Yên,tran-yen
761,Văn Chấn,van-chan
762,Văn Yên,van-yen
763,Yên Bái,yen-bai
764,Yên Bình,yen-binh
765,Bến xe Miền Đông,ben-xe-mien-dong
766,Bến xe phía Nam Huế,ben-xe-phia-nam-hue
767,Bến xe trung tâm Đà Nẵng,ben-xe-trung-tam-da-nang
768,Bến xe Miền Tây,ben-xe-mien-tay
769,Bến xe Nha Trang,ben-xe-nha-trang
770,Bến xe liên tỉnh Đà Lạt,ben-xe-lien-tinh-da-lat
771,Bến xe Phía Nam Nha Trang,ben-xe-phia-nam-nha-trang
772,Bến Xe Phía Bắc Nha Trang,ben-xe-phia-bac-nha-trang
773,Bến Xe Vũng Tàu,ben-xe-vung-tau
774,Bến xe Bà Rịa,ben-xe-ba-ria
775,Bến xe thị xã Long Khánh,ben-xe-thi-xa-long-khanh
776,Bến xe Tây Ninh,ben-xe-tay-ninh
777,Bến xe Tân Phú,ben-xe-tan-phu
778,Bến xe Gò Công,ben-xe-go-cong
779,Bến xe 91B Cần Thơ,ben-xe-91b-can-tho
780,Bến xe Tánh Linh,ben-xe-tanh-linh
781,Cổng bến xe Hải Dương,cong-ben-xe-hai-duong
782,Bến xe Hùng Vương,ben-xe-hung-vuong
783,,
784,Bến xe liên tỉnh Đắk Lắk,ben-xe-lien-tinh-dak-lak
785,Bến xe Giáp Bát,ben-xe-giap-bat
786,Bến xe Mỹ Đình,ben-xe-my-dinh
787,Bến xe Hà Tĩnh,ben-xe-ha-tinh
788,BX Quảng Ngãi,bx-quang-ngai
789,Bến xe Bồng Sơn,ben-xe-bong-son
790,Bến Xe Đức Long Gia Lai,ben-xe-duc-long-gia-lai
791,Bến xe khách Sông Ray,ben-xe-khach-song-ray
792,Bến xe Vinh (cũ),ben-xe-vinh-cu
793,Bến xe Bến Tre,ben-xe-ben-tre
794,Bến xe khách Kiến Xương,ben-xe-khach-kien-xuong
795,Bến xe Phố Mới,ben-xe-pho-moi
796,Bến xe Tuyên Quang,ben-xe-tuyen-quang
797,Bến xe Sơn La,ben-xe-son-la
798,Bến xe khách Mường La,ben-xe-khach-muong-la
799,Bến xe liên tỉnh Bình Định,ben-xe-lien-tinh-binh-dinh
800,Bến xe liên tỉnh Tuy Hoà,ben-xe-lien-tinh-tuy-hoa
801,Bến xe Lai Châu,ben-xe-lai-chau
802,Bến xe Rạch Giá,ben-xe-rach-gia
803,Bến xe Nước Ngầm,ben-xe-nuoc-ngam
804,Bến xe Bù Gia Mập,ben-xe-bu-gia-map
805,Bến xe Hà Tiên,ben-xe-ha-tien
806,Bến xe Krông Pa,ben-xe-krong-pa
807,Bến xe Ayunpa,ben-xe-ayunpa
808,Thanh Phu bus station,thanh-phu-bus-station
809,Bến xe Buôn Hồ,ben-xe-buon-ho
810,Bến xe Tiên Yên,ben-xe-tien-yen
